OpType,Time
Conv,0.000249
Conv,0.000349
Conv,0.000153
Conv,0.000074
BatchNormalization,0
Pad,0.002258
Conv,0
Conv,0.000235
Add,0.001034
Conv,0
Pad,0.00083
Conv,0
Conv,0.000101
Add,0.000492
Add,0.064454
Conv,0
Pad,0.000337
Conv,0
Conv,0.000057
Add,0.000246
Add,0.000185
Add,0.000187
Conv,0
Conv,0.000076
Conv,0.000046
Add,0.000421
Add,0.00032
Conv,0
Pad,0.000397
Conv,0
Conv,0.000055
Add,0.00034
Add,0.000237
Conv,0
Conv,0.00008
Conv,0.000028
Conv,0.000134
BatchNormalization,0
GlobalAveragePool,0.000236
MatMul,0